ReportDate,PublishedAt,CompletedUnits,ClosedInvoiceCount,ClosedActiveCustomerCount,ClosedNMRGBP
2011-04-19,2011-04-20 02:00:00,1796,35,29,2173.71
2011-04-20,2011-04-21 02:00:00,1228,23,22,1768.36
2011-04-21,2011-04-22 02:00:00,1441,42,38,1976.74
2011-04-22,2011-04-23 02:00:00,0,0,0,0.0
2011-04-23,2011-04-24 02:00:00,0,0,0,0.0
2011-04-24,2011-04-25 02:00:00,0,0,0,0.0
2011-04-25,2011-04-26 02:00:00,0,0,0,0.0
2011-04-26,2011-04-27 02:00:00,1329,33,23,2100.55
2011-04-27,2011-04-28 02:00:00,1096,32,30,1624.07
2011-04-28,2011-04-29 02:00:00,2896,28,27,3066.59
2011-04-29,2011-04-30 02:00:00,0,0,0,0.0
2011-04-30,2011-05-01 02:00:00,0,0,0,0.0
2011-05-01,2011-05-02 02:00:00,226,10,10,451.41
2011-05-02,2011-05-03 02:00:00,0,0,0,0.0
2011-05-03,2011-05-04 02:00:00,1280,31,26,1939.51
2011-05-04,2011-05-05 02:00:00,1867,32,31,1803.3
2011-05-05,2011-05-06 02:00:00,2876,46,42,4098.14
2011-05-06,2011-05-07 02:00:00,1675,38,32,3058.08
2011-05-07,2011-05-08 02:00:00,0,0,0,0.0
2011-05-08,2011-05-09 02:00:00,1479,38,38,1939.36
2011-05-09,2011-05-10 02:00:00,1289,35,29,2210.41
2011-05-10,2011-05-11 02:00:00,1951,61,37,3052.47
2011-05-11,2011-05-12 02:00:00,1756,42,37,3556.84
2011-05-12,2011-05-13 02:00:00,3455,49,44,6028.77
2011-05-13,2011-05-14 02:00:00,859,27,24,1660.13
2011-05-14,2011-05-15 02:00:00,0,0,0,0.0
2011-05-15,2011-05-16 02:00:00,865,21,20,1440.59
2011-05-16,2011-05-17 02:00:00,1556,45,39,2800.56
2011-05-17,2011-05-18 02:00:00,1867,46,36,3312.31
2011-05-18,2011-05-19 02:00:00,2621,48,46,3888.61
2011-05-19,2011-05-20 02:00:00,2378,53,46,3496.89
2011-05-20,2011-05-21 02:00:00,1375,28,25,2366.67
2011-05-21,2011-05-22 02:00:00,0,0,0,0.0
2011-05-22,2011-05-23 02:00:00,1483,42,41,2831.16
2011-05-23,2011-05-24 02:00:00,1428,31,26,2333.82
2011-05-24,2011-05-25 02:00:00,1129,34,28,2120.08
2011-05-25,2011-05-26 02:00:00,1730,39,33,2556.47
2011-05-26,2011-05-27 02:00:00,2178,34,33,5201.58
2011-05-27,2011-05-28 02:00:00,1274,35,29,1686.35
2011-05-28,2011-05-29 02:00:00,0,0,0,0.0
2011-05-29,2011-05-30 02:00:00,447,15,14,425.28
2011-05-30,2011-05-31 02:00:00,0,0,0,0.0
2011-05-31,2011-06-01 02:00:00,834,27,24,1538.81
2011-06-01,2011-06-02 02:00:00,1305,28,24,1943.64
2011-06-02,2011-06-03 02:00:00,1366,24,18,2209.39
2011-06-03,2011-06-04 02:00:00,1021,24,22,1564.89
2011-06-04,2011-06-05 02:00:00,0,0,0,0.0
2011-06-05,2011-06-06 02:00:00,1174,32,32,1967.07
2011-06-06,2011-06-07 02:00:00,1041,34,32,1888.08
2011-06-07,2011-06-08 02:00:00,1628,38,34,2327.8
2011-06-08,2011-06-09 02:00:00,2044,48,36,2820.56
2011-06-09,2011-06-10 02:00:00,1385,49,44,2326.08
2011-06-10,2011-06-11 02:00:00,782,22,18,1373.51
2011-06-11,2011-06-12 02:00:00,0,0,0,0.0
2011-06-12,2011-06-13 02:00:00,737,26,26,1083.26
2011-06-13,2011-06-14 02:00:00,833,29,27,1454.49
2011-06-14,2011-06-15 02:00:00,1818,28,24,3803.29
2011-06-15,2011-06-16 02:00:00,1757,35,29,1925.1
2011-06-16,2011-06-17 02:00:00,1259,27,26,1607.27
2011-06-17,2011-06-18 02:00:00,693,21,19,1417.45
2011-06-18,2011-06-19 02:00:00,0,0,0,0.0
2011-06-19,2011-06-20 02:00:00,1189,37,36,1933.64
